Record,TxHash,Block,From,To,Value_ETH,TxFee,Age_seconds,From_is_address,To_is_address,To_entity_type,From_entity_type,Fee_to_Value,Value_Wei,From_tx_count,To_tx_count
0,0x7bbd62c3784e56ed55f2dfe1d52685d2412ac3f86fbb3b130cdaff0b723f4a93,5184886,0xdd487c027448d3364355707d91eefadc2dae9f88,0x3e1b1fe45cb2040b97cdb3191d4933ad1ff0928d,0.5,0.00039902,19,True,True,wallet_or_contract,wallet_or_contract,0.0007980399984039,500000000000000000,74,1
1,0xbdc661846c450213cc2542a68b96c82f9cd611beb5d3e94765574dd260512670,5184886,0xb66a63e5ba7a888450af2ede7a47fd99777b647a,binancewallet,0.79841,0.00042,19,True,False,known_entity,wallet_or_contract,0.0005260455148031,798410000000000000,1,1958
2,0x6ae621e1311a56810f09cd8675b1fba2254ef800873244204f13d141ee5a7a82,5184886,0xb20f603635d3148fc197114ce7930ba2203c0b19,binancewallet,0.59958,0.00042,19,True,False,known_entity,wallet_or_contract,0.0007004903420719,599580000000000000,1,1958
3,0x937015270f59d404ed48c1b08533e6b5a609cc1ceb38587cad38c64dc2921078,5184886,0xad5268de391998acf4d8a60364f8f7237fb6a34f,binancewallet,0.70841989,0.00042,19,True,False,known_entity,wallet_or_contract,0.0005928687284699,708419890000000000,1,1958
4,0x59f693671087ef67c68d3f00255d3dee17539cc4c219e1120b63e18597142c7c,5184886,0x525d09f85d1d65c1a52fe7cdfbea2c863a44938f,binancewallet,0.65480251,0.00042,19,True,False,known_entity,wallet_or_contract,0.0006414147669632,654802510000000000,1,1958
5,0x1616f3586a0053108d06accc6820255c06ea6a7b6a2e07de449488ba9c85e2a9,5184886,0x34b7e7bc247b69b9d270973938b9c8c310385d2c,binancewallet,0.88850136,0.00042,19,True,False,known_entity,wallet_or_contract,0.0004727060851401,888501360000000000,1,1958
6,0xf2cae56cdd183d9379666ea36a60af2994a0b4f38986152450b9d33e9cad39ed,5184886,0x0a046123f55ddde374cc59eec165fc8f94669949,binancewallet,0.64958,0.00042,19,True,False,known_entity,wallet_or_contract,0.0006465716299045,649580000000000000,1,1958
7,0x801b7b54b850d6fdfb251bec980ee5e871c6333660f326905c438643077d2a25,5184886,0x06b79abe66e4c0ce96de226de64f5c0bc8659155,binancewallet,0.834,0.00042,19,True,False,known_entity,wallet_or_contract,0.0005035971216983,834000000000000000,1,1958
8,0xa139fdd873e26f85ba43ff721b05b4e7f5afa9418c118e64903977f22d43cef7,5184886,0xfd5b7bab582fdfdc763e4692ccce240f6456bffc,binancewallet,0.729377002613614,0.00042,19,True,False,known_entity,wallet_or_contract,0.0005758338937465,729377002613614080,1,1958
9,0xfef9113a4395080762b3b03419bfdc518a74e5726e61e64f21ec8a92e70c06e3,5184886,0x8cc60a4e75d47d682b18d08248a53eba2e691541,binancewallet,0.968737,0.00042,19,True,False,known_entity,wallet_or_contract,0.0004335542046669,968737000000000000,1,1958
